,Store Name,Number
0,Global Enterprises,+(91)-751-2435241
1,Anand Electronics,+(91)-751-2329872
2,Sheetal Tarang,+(91)-751-2380325
3,Sai Window Cooler,+(91)-7566705123
4,Shankar General Store,+(91)-751-2443184
5,Gupta Electronics,+(91)-0751-2325518
6,V Sales,+(91)-0751-2452521
7,Himanshu Electronics,+(91)-9782744782
8,T And F (Customer Care) Div..,+(91)-751-2232678
9,Ravi Sales,+(91)-7566974958
