,Store Name,Number
0,New shivangi communication,+(91)-9826234471
1,Vidhya Business Link,+(91)-751-2427615
2,Vimal Electronic,+(91)-8871807219
3,Freezing Point,+(91)-0751-2321606
4,N.K. Sales,+(91)-751-2453700
5,Goswami Enterprises,+(91)-8649985160
6,Palaza Telecom,+(91)-8120697763
7,Khushi Enterprises,+(91)-8120208888
8,Power Sales,+(91)-9617982827
9,Rathore Electronics,+(91)-6260521034
