,Store Name,Number
0,Ashoka Sales,+(91)-751-2484390
1,Delhi Diesels,+(91)-8602601836
2,Bansal Music Palace and Ele..,+(91)-9300809037
3,Star Lights,+(91)-0751-2625617
4,Suraj Enterprises,+(91)-751-2328912
5,Aman Electronics,+(91)-9827758132
6,Balaji Enterprises,+(91)-9039239529
7,Hi Tech Computer Point,+(91)-751-2452778
8,New Sai Enterprises,+(91)-8989668531
9,Tulsi Electronics,+(91)-9074970677
