,Store Name,Number
0,Talash Electricals,+(91)-9826808550
1,Hari Om Electronics,+(91)-7771022996
2,Jainam Electronic,+(91)-8770679985
3,Shiva Enterprises,+(91)-8989668468
4,Shri Ram Appliances,+(91)-0751-4015552
5,Maa Durga Electronics,+(91)-9200163135
6,Promix Electronics,+(91)-7415402383
7,Anish Sales,+(91)-7441179983
8,Rikhabdas Kamal Kishore,+(91)-8305141531
9,Dubay Electronics,+(91)-8878596425
