,Store Name,Number
0,Sterling Sales And Services,+(91)-8109205454
1,Blue Line Appliances,+(91)-9179877144
2,Vallary Enterprises,+(91)-751-2322897
3,Maheshwari Associates,+(91)-0751-2321804
4,Ashirwad Electronics,+(91)-751-3052218
5,Ashok Agencies,+(91)-751-2329220
6,Shubh Enterprises,+(91)-0751-6538569
7,Raj Enterprises,+(91)-9993907006
8,M.A. Steel Works,+(91)-9713519592
9,Agarwal Window Cooler,+(91)-9770285500
